id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
129,carrer salvador allende / calle salvador allende,0.0,0.0,0.0,0.0,0.0,4.0,38.3766195,-0.4788499,carrer salvador allende / calle salvador allende,joan xxiii,alacant / alicante,3014.0,footway
130,carrer senyorita de trevelez / calle senyorita de trevelez,0.0,0.0,0.0,0.0,0.0,4.0,38.3747245,-0.4927805,carrer senorita de trevelez / calle senorita de trevelez,ciutat jardi,alacant / alicante,3112.0,residential
131,carrer sierra montgo / calle sierra montgo,0.0,0.0,0.0,0.0,0.0,4.0,38.3716531,-0.488556,carrer sierra montgo / calle sierra montgo,verge del remei,alacant / alicante,3112.0,house
132,casa alberola alicante curio collection by hilton,0.0,0.0,0.0,0.0,0.0,4.0,38.3422175,-0.4866396,carrer de canalejas / calle canalejas,raval de sant francesc,alacant / alicante,3001.0,hotel
133,casa consistorial,0.0,0.0,0.0,0.0,1.0,0.0,38.08678199999999,-0.7962720000000036,plaza de espana,desconocido,desconocido,03169,townhall
134,"casa consistorial ""locales municipales en plaza mayor",1.0,1.0,1.0,0.0,0.0,1.0,38.34624499999998,-0.768712,calle nuncio de su santidad d. manuel monteiro castro,desconocido,aspe,03680,pedestrian
135,casa consistorial (edificio historico),0.0,0.0,0.0,0.0,1.0,0.0,38.34580499999996,-0.7689219999999981,plaza mayor,desconocido,aspe,03680,townhall
136,casa consistorial centro civico y consultorio,0.0,0.0,0.0,0.0,1.0,0.0,38.75657900000003,-0.2752465000000041,carrer nou,desconocido,desconocido,03813,doctors
137,casa cultura,0.0,0.0,1.0,0.0,0.0,0.0,38.72450069999998,-0.3156660000000065,carrer trinquet,desconocido,desconocido,03811,townhall
138,casa de cultura,0.0,0.0,0.0,0.0,1.0,0.0,38.436116000000005,-0.637952999999995,avinguda de xixona,desconocido,desconocido,03698,school
139,casa de la cultura,0.0,0.0,0.0,0.0,0.0,0.0,38.772100200000025,-0.4251001999999957,avinguda del pais valencia,desconocido,desconocido,03829,residential
140,casa de la juventud,0.0,0.0,1.0,0.0,0.0,0.0,38.10453600000001,-0.7372310000000021,calle virgen de monserrate,desconocido,desconocido,03177,house
141,casa del poble,1.0,0.0,1.0,0.0,0.0,1.0,38.84505350000001,-0.3117206999999975,avinguda pou,desconocido,desconocido,03860,service
142,casa dels joves,1.0,1.0,1.0,0.0,0.0,1.0,38.8440073,-0.3109298999999965,carrer santa elena,desconocido,desconocido,03860,service
143,casa jove,0.0,0.0,1.0,0.0,0.0,0.0,38.78049689999996,-0.5166207,carrer sant antoni,desconocido,desconocido,03837,pharmacy
144,casa susi,0.0,0.0,0.0,0.0,0.0,2.0,38.362866,-0.483442,carrer del doctor buades / calle doctor buades,les carolines altes,alacant / alicante,3012.0,convenience
145,casa toni el fuster,0.0,1.0,0.0,0.0,0.0,1.0,38.59946570000004,-0.0516466000000031,costera dels matxos,desconocido,altea,03590,residential
146,casal de la juventud,1.0,0.0,0.0,0.0,0.0,1.0,38.38109500000001,-0.7687779999999937,calle doctor fleming,desconocido,novelda,03660,community_centre
147,casal tercera edad,1.0,0.0,0.0,0.0,0.0,1.0,38.53963400000004,-0.5067579999999968,carrer d'alcoi,barri de segorb,desconocido,03100,townhall
148,cash quality,0.0,0.0,0.0,0.0,0.0,4.0,38.376372,-0.5060028,carrer de benidoleig / calle benidoleig,la divina pastora,alacant / alicante,3011.0,supermarket
149,casino sportium,0.0,0.0,0.0,0.0,0.0,4.0,38.3623034,-0.4874003,avinguda del pintor baeza / avenida pintor baeza,altossano,alacant / alicante,3014.0,casino
150,castell de santa barbara,0.0,0.0,0.0,0.0,0.0,4.0,38.3490916,-0.4781771,tunel de acceso ascensor al castillo de santa barbara,sant antoni,alacant / alicante,3002.0,toilets
151,castello-esmeralda,0.0,0.0,0.0,0.0,0.0,4.0,38.3747007,-0.4871262,avinguda del pintor gaston castello / avenida del pintor gaston castello,colonia requena,alacant / alicante,3112.0,bus_stop
