nombre,accesibilidad_total,e4_servicios_higienicos,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
san gabriel-cercanias,4,0,38.3290672,-0.5091648,avinguda d'elx / avenida de elche,el palmeral,alacant / alicante,03007,bus_stop
luceros,4,0,38.3459859,-0.4905968,placa dels estels / plaza de los luceros,nostra senyora de gracia,alacant / alicante,03003,tram_stop
parque del mar,4,0,38.3325707,-0.5061936,avinguda d'elx / avenida de elche,el palmeral,alacant / alicante,03007,bus_stop
alcampo,4,0,38.3547252,-0.4713733,avinguda de denia / avenida de denia,vistahermosa,alacant / alicante,03016,supermarket
pizzeria popeye,4,0,38.37011,-0.4144491,avinguda de santander / avenida de santander,la platja de sant joan,alacant / alicante,03540,restaurant
farmacia velero blanco,4,0,38.384647,-0.4122218,carrer de la solfista concepcion rubio / calle solfista concepcion rubio,desconocido,alacant / alicante,03540,pharmacy
disfruta zumos naturales,4,0,38.3493091,-0.4884099,placa del music oscar tordera inesta / plaza del musico oscar tordera inesta,nostra senyora de gracia,alacant / alicante,03004,fast_food
the good burger,4,0,38.3441014,-0.4837338,placa del portal d'elx / plaza portal de elche,raval de sant francesc,alacant / alicante,03001,fast_food
coffee nutz,4,0,38.3475316,-0.4845614,la rambla / la rambla,raval de sant francesc,alacant / alicante,03001,cafe
representantes,4,0,38.3523192,-0.4862858,avinguda de l'alcalde alfonso de rojas / avenida del alcalde alfonso de rojas,raval de sant antoni,alacant / alicante,03004,bus_stop
rambla mendez nunyez 4-6,4,0,38.3441059,-0.4830176,la rambla / la rambla,raval de sant francesc,alacant / alicante,03001,bus_stop
las piramides,4,0,38.3591127,-0.4821192,carrer de guardamar / calle guardamar,les carolines altes,alacant / alicante,03012,restaurant
i2e (ingenieria informatica empresarial),4,0,38.3451668,-0.5068288,carrer d'auso y monzo / calle auso y monzo,sant ferran - princesa mercedes,alacant / alicante,03006,it
moeve,4,0,38.3856792,-0.4498206,avinguda de denia / avenida de denia,orgegia,alacant / alicante,03559,fuel
tedi,4,0,38.3404801,-0.490889,carrer d'italia / calle italia,raval de sant francesc,alacant / alicante,03003,variety_store
alohers coffee surf,4,0,38.3629488,-0.4115241,carrer de sicilia / calle sicilia,desconocido,alacant / alicante,03540,fast_food
always,4,0,38.3405526,-0.490716,carrer d'italia / calle italia,raval de sant francesc,alacant / alicante,03003,supermarket
denia - cc plaza mar 2,4,0,38.3532276,-0.4735168,avinguda de denia / avenida de denia,vistahermosa,alacant / alicante,03013,bus_stop
denia - canonigo penalva ii,4,0,38.3524864,-0.473603,carrer del canonge manuel penalva / calle canonigo manuel penalva,sangueta,alacant / alicante,03013,bus_stop
euipo-elche,4,0,38.3125598,-0.5164248,avinguda d'elx / avenida de elche,alicante hills,alacant / alicante,03008,bus_stop
chiringuito rompeolas,4,0,38.3462433,-0.4767517,passeig de gomiz / paseo de gomiz,vistahermosa,alacant / alicante,03002,restaurant
sip and wonder,4,0,38.3476979,-0.4874669,carrer del poeta campos vassallo / calle poeta campos vassallo,nostra senyora de gracia,alacant / alicante,03004,cafe
udaco,4,0,38.3482511,-0.4753267,carrer de la mare de deu del socors / calle virgen del socorro,sant roc,alacant / alicante,03002,convenience
wen zhou shang chang,4,0,38.3412352,-0.4892395,carrer d'italia / calle italia,raval de sant francesc,alacant / alicante,03003,supermarket
palmitas,4,4,38.3441689,-0.4815666,passeig de l'esplanada d'espanya / paseo de la explanada de espana,centre historic,alacant / alicante,03001,restaurant
federopticos lledo - jornet,4,0,38.3585641,-0.4781891,carrer de sant mateu / calle san mateo,les carolines baixes,alacant / alicante,03012,optician
suma gestion tributaria,4,0,38.3432968,-0.5097687,carrer de l'astronom comas sola / calle astronomo comas sola,la florida baixa,alacant / alicante,03007,government
cash quality,4,0,38.376372,-0.5060028,carrer de benidoleig / calle benidoleig,la divina pastora,alacant / alicante,03011,supermarket
la cocina del buen comer,4,0,38.3418532,-0.4891067,carrer d'alemania / calle alemania,nostra senyora de gracia,alacant / alicante,03003,restaurant
lavanderia autoservicio flor de len,4,0,38.3433554,-0.5141718,carrer d'ana navarro / calle ana navarro,la florida baixa,alacant / alicante,03007,laundry
joyeria marga mira,4,0,38.3443873,-0.4918548,carrer del general lacy / calle general lacy,nostra senyora de gracia,alacant / alicante,03003,jewelry
talleres d&d eurotaller,4,0,38.3383915,-0.5197594,carrer de la rosa dels vents / calle rosa de los vientos,ciutat d'assis,alacant / alicante,03008,car_repair
mg electricidad,4,0,38.3634421,-0.4935631,carrer de jose reus garcia / calle jose reus garcia,els angels,alacant / alicante,03010,electrician
cim formacion alicante,4,0,38.3488762,-0.4914931,carrer del mestre breton / calle maestro breton,nostra senyora de gracia,alacant / alicante,03004,college
marel mujer,4,0,38.3450531,-0.4887736,carrer del teatre / calle del teatro,nostra senyora de gracia,alacant / alicante,03001,clothes
pc box,4,0,38.34494,-0.4886938,carrer del teatre / calle del teatro,nostra senyora de gracia,alacant / alicante,03001,computer
ulanka,4,0,38.343408,-0.4893328,avenida de maisonnave / avinguda de maisonnave,nostra senyora de gracia,alacant / alicante,03003,shoes
punto roma,4,0,38.3434217,-0.4892289,avenida de maisonnave / avinguda de maisonnave,nostra senyora de gracia,alacant / alicante,03003,clothes
farmacia del teatro,4,0,38.3456448,-0.486491,carrer del teatre / calle del teatro,nostra senyora de gracia,alacant / alicante,03001,pharmacy
urgencies,4,0,38.3527883,-0.4758436,carrer de celia valls / calle celia valls,sant roc,alacant / alicante,03013,emergency_ward_entrance
hospital de dia,4,0,38.3527772,-0.4764815,carrer de celia valls / calle celia valls,sant roc,alacant / alicante,03013,emergency_ward_entrance
radiologia,4,0,38.3523711,-0.4757895,carrer de celia valls / calle celia valls,sant roc,alacant / alicante,03013,emergency_ward_entrance
radioterapia,4,0,38.3524669,-0.4762525,carrer de celia valls / calle celia valls,sant roc,alacant / alicante,03013,emergency_ward_entrance
consultes externes,4,0,38.3642271,-0.4856023,carrer del mestre alonso / calle maestro alonso,les carolines altes,alacant / alicante,03012,hospital
once,4,0,38.3637914,-0.4845753,carrer del mestre alonso / calle maestro alonso,les carolines altes,alacant / alicante,03012,lottery
alacant terminal,4,0,38.3449804,-0.496061,carrer de bono guarner / calle bono guarner,nostra senyora de gracia,alacant / alicante,03003,station
dua clinic,4,0,38.3701775,-0.4144339,avinguda de santander / avenida de santander,la platja de sant joan,alacant / alicante,03540,hospital
aromas artesanales,4,0,38.3545628,-0.4717984,avinguda de denia / avenida de denia,vistahermosa,alacant / alicante,03016,perfumery
r. altamira,4,0,38.3443553,-0.4828569,carrer de rafael altamira / calle rafael altamira,centre historic,alacant / alicante,03001,bus_stop
villafranqueza-iglesia,4,0,38.3866462,-0.491036,carrer del music jose torregrosa / calle musico jose torregrosa,el palamo,alacant / alicante,03112,bus_stop
carrefour express,4,0,38.3857389,-0.4498632,carrer de la llar provincial antonio fernandez valenzuela / calle hogar provincial antonio fernandez valenzuela,orgegia,alacant / alicante,03559,convenience
kfc,4,0,38.3712826,-0.4572116,calle vistahermosa provisional 10,vistahermosa norte,alacant / alicante,03016,fast_food
cafetea,4,0,38.3595678,-0.4831337,carrer del pinos / calle pinoso,les carolines altes,alacant / alicante,03012,cafe
mileljos,4,2,38.3416311,-0.4923839,carrer dels reis catolics / calle reyes catolicos,nostra senyora de gracia,alacant / alicante,03003,fast_food
akraclima instalaciones aire acondicionado,4,0,38.349046,-0.4745403,carrer de la mare de deu del socors / calle virgen del socorro,sangueta,alacant / alicante,03002,appliance
mussa beauty salon,4,0,38.3668814,-0.4262453,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,03540,beauty
sukiya,4,4,38.3484319,-0.487625,carrer del poeta quintana / calle poeta quintana,nostra senyora de gracia,alacant / alicante,03001,restaurant
suma,4,0,38.3469514,-0.4843385,carrer de saragossa / calle zaragoza,raval de sant francesc,alacant / alicante,03001,supermarket
boga sky bar,4,0,38.3648946,-0.4177233,avinguda de catalunya / avenida de cataluna,entreplatges,alacant / alicante,03540,bar
santa faz,4,0,38.3446548,-0.4830219,carrer major / calle mayor,centre historic,alacant / alicante,03001,cafe
oakberry asai,4,0,38.344732,-0.4821205,carrer de rafael altamira / calle rafael altamira,centre historic,alacant / alicante,03001,ice_cream
indian house,4,0,38.3419112,-0.4874218,avinguda del doctor gadea / avenida doctor gadea,nostra senyora de gracia,alacant / alicante,03001,restaurant
spar,4,0,38.3574482,-0.4824449,carrer de montero rios / calle montero rios,les carolines altes,alacant / alicante,03012,supermarket
taberna rincon de miguel 2,4,0,38.3571926,-0.4788917,carrer de sant mateu / calle san mateo,les carolines baixes,alacant / alicante,03013,restaurant
foster's hollywood,4,0,38.338368,-0.4864816,avinguda de perfecto palacio de la fuente / avenida perfecto palacio de la fuente,raval de sant francesc,alacant / alicante,03003,restaurant
go 99,4,0,38.3401184,-0.4899004,carrer de l'arquebisbe loaces / calle arzobispo loaces,raval de sant francesc,alacant / alicante,03003,supermarket
+copy,4,0,38.3594783,-0.4911098,carrer d'aureliano ibarra / calle aureliano ibarra,altossano,alacant / alicante,03010,copyshop
tepemok,4,0,38.3497067,-0.4878388,carrer de manuel anton / calle manuel anton,nostra senyora de gracia,alacant / alicante,03004,convenience
pepco,4,0,38.3748159,-0.5059183,carrer de benidoleig / calle benidoleig,la divina pastora,alacant / alicante,03011,clothes
umh - universitat miguel hernandez - campus de sant joan d'alacant,4,4,38.3885882,-0.4363055,avenida don santiago ramon y cajal,la santa fac,sant joan d'alacant,03559,clinic
castell de santa barbara,4,0,38.3490916,-0.4781771,tunel de acceso ascensor al castillo de santa barbara,sant antoni,alacant / alicante,03002,toilets
passeig de l'esplanada d'espanya / paseo de la explanada de espanya,4,0,38.3432153,-0.4832701,passeig de l'esplanada d'espanya / paseo de la explanada de espana,raval de sant francesc,alacant / alicante,03001,footway
seu universitaria ciutat d'alacant / sede universitaria ciudad de alicante,4,0,38.3416092,-0.487079,avinguda del doctor gadea / avenida doctor gadea,nostra senyora de gracia,alacant / alicante,03001,university
el corte ingles,4,0,38.3440222,-0.4898638,avinguda de federico soto / avenida de federico soto,nostra senyora de gracia,alacant / alicante,03003,toilets
passeig de l'escriptor joan fuster / paseo del escritor joan fuster,4,0,38.3318946,-0.5072735,avinguda d'elx / avenida de elche,el palmeral,alacant / alicante,03007,yes
plasa del papa joan pau ii / plaza del papa juan pablo ii,4,0,38.3534913,-0.5117808,placa del papa joan pau ii / plaza del papa juan pablo ii,joan pau ii / juan pablo ii,alacant / alicante,03006,residential
plasa de conchi rodriguez vicaria / plaza conchi rodriguez vicaria,4,0,38.375737,-0.4956985,carrer del clot / calle clot,el clot,alacant / alicante,03011,bench
centro de salud ciudad jardin / centre de salut ciutat jardi,4,4,38.3754246,-0.4949259,carrer del clot / calle clot,el clot,alacant / alicante,03011,clinic
plasa d'argel / plaza de argel,4,0,38.3743081,-0.4915204,carrer de valle inclan / calle valle inclan,verge del remei,alacant / alicante,03112,bandstand
plasa de l'esportista andres munyoz / plaza del deportista andres munyoz,4,0,38.3384951,-0.4926727,placa de l'esportista andres munoz / plaza del deportista andres munoz,raval de sant francesc,alacant / alicante,03003,playground
higienetodo,4,0,38.3400827,-0.5608254,carrer del ien / calle del yen,desconocido,alacant / alicante,03114,residential
cami del clot / camino del clot,4,0,38.3791964,-0.4998765,cami del clot / camino del clot,el clot,alacant / alicante,03011,unclassified
burger king,4,0,38.3653364,-0.4862979,carrer de colombia / calle colombia,altossano,alacant / alicante,03014,fast_food
estadio jose rico perez,4,0,38.3573816,-0.4926034,carrer de marco oliver / calle marco oliver,altossano,alacant / alicante,03009,stadium
pasarela acceso playa,4,0,38.3470854,-0.4761224,carrer de jovellanos / calle jovellanos,sant roc,alacant / alicante,03002,primary
piscina climatizada,4,0,38.3610735,-0.4243518,carrer de l'arpo / calle arpon,entreplatges,alacant / alicante,03540,sports_centre
policia local,4,0,38.3645207,-0.4100177,avinguda de napols / avenida de napoles,desconocido,alacant / alicante,03540,police
collegi d'educacio infantil i primaria san fernando,4,0,38.3552455,-0.4993587,carrer de ciudad real / calle ciudad real,poligon de sant blai,alacant / alicante,03005,school
hotel ac alicante,4,0,38.3386446,-0.4948575,carrer d'isabel la catolica / calle isabel la catolica,nostra senyora de gracia,alacant / alicante,03003,hotel
plasa de l'arquitecte miguel lopez / plaza del arquitecto miguel lopez,4,0,38.3380061,-0.4930059,placa de l'arquitecte miguel lopez / plaza del arquitecto miguel lopez,raval de sant francesc,alacant / alicante,03003,fountain
nostrum,4,0,38.3443064,-0.4890458,avinguda de federico soto / avenida de federico soto,nostra senyora de gracia,alacant / alicante,03001,house
casa alberola alicante curio collection by hilton,4,0,38.3422175,-0.4866396,carrer de canalejas / calle canalejas,raval de sant francesc,alacant / alicante,03001,hotel
panaderia bravo bolleria,4,0,38.3437017,-0.5110716,carrer d'asturies / calle asturias,la florida baixa,alacant / alicante,03007,bakery
maya,4,0,38.3518506,-0.4747021,carrer del canonge manuel penalva / calle canonigo manuel penalva,sangueta,alacant / alicante,03002,hotel
auditorio la concha,4,0,38.3428843,-0.4837883,passeig de l'esplanada d'espanya / paseo de la explanada de espana,raval de sant francesc,alacant / alicante,03001,bandstand
carrer del mestre rosillo / calle maestro rosillo,4,0,38.3757954,-0.4804278,carrer del mestre rosillo / calle maestro rosillo,joan xxiii,alacant / alicante,03014,footway
avinguda de la baronia de polop / avenida baronia de polop,4,0,38.3760441,-0.4946521,avinguda de la baronia de polop / avenida baronia de polop,el clot,alacant / alicante,03011,footway
carrer del clot / calle clot,4,0,38.3758656,-0.4960793,carrer del clot / calle clot,el clot,alacant / alicante,03011,footway
carrer de santa maria josefa / calle santa maria josefa,4,0,38.3751506,-0.4972851,carrer de santa maria josefa / calle santa maria josefa,ciutat jardi,alacant / alicante,03011,footway
carrer d'ortega y gasset / calle ortega y gasset,4,0,38.3746791,-0.4934706,carrer d'ortega y gasset / calle ortega y gasset,ciutat jardi,alacant / alicante,03011,footway
carrer de l'economista german bernacer / calle economista german bernacer,4,0,38.3750163,-0.4925827,carrer de l'economista german bernacer / calle economista german bernacer,ciutat jardi,alacant / alicante,03112,footway
carrer de parcent / calle parcent,4,0,38.3748775,-0.492562,carrer de parcent / calle parcent,ciutat jardi,alacant / alicante,03112,footway
plasa de la cruz / plaza de la cruz,4,0,38.3758794,-0.4893682,placa de la cruz / plaza de la cruz,colonia requena,alacant / alicante,03112,footway
carrer del pintor perez pizarro / calle pintor perez pizarro,4,0,38.374068,-0.4905933,carrer del pintor perez pizarro / calle pintor perez pizarro,verge del remei,alacant / alicante,03112,footway
carrer de l'advocat perez mirete / calle abogado perez mirete,4,0,38.3747128,-0.4919932,carrer de l'advocat perez mirete / calle abogado perez mirete,verge del remei,alacant / alicante,03112,footway
carrer del music alfosea / calle musico alfosea,4,0,38.3733974,-0.4895101,carrer del music alfosea / calle musico alfosea,verge del remei,alacant / alicante,03112,house
plasa del doctor gascunyana hernando / plaza del doctor gascunyana hernando,4,0,38.3750713,-0.4882798,placa del doctor gascunana hernando / plaza del doctor gascunana hernando,verge del remei,alacant / alicante,03112,footway
carrer del publicista jose tari / calle publicista jose tari,4,0,38.3740628,-0.4898657,carrer del publicista jose tari / calle publicista jose tari,verge del remei,alacant / alicante,03112,footway
carrer senyorita de trevelez / calle senyorita de trevelez,4,0,38.3747245,-0.4927805,carrer senorita de trevelez / calle senorita de trevelez,ciutat jardi,alacant / alicante,03112,residential
carrer del doctor claramunt / calle doctor claramunt,4,0,38.3748665,-0.4894186,carrer del doctor claramunt / calle doctor claramunt,verge del remei,alacant / alicante,03112,footway
carrer de la maragda / calle esmeralda,4,0,38.3750347,-0.4850952,carrer de la maragda / calle esmeralda,colonia requena,alacant / alicante,03112,footway
carrer del cronista figueras pacheco / calle cronista figueras pacheco,4,0,38.3726021,-0.4847432,carrer del cronista figueras pacheco / calle cronista figueras pacheco,colonia requena,alacant / alicante,03014,footway
carrer del safir / calle zafiro,4,0,38.3747129,-0.4864673,carrer del safir / calle zafiro,colonia requena,alacant / alicante,03112,footway
carrer de la perla / calle perla,4,0,38.3745354,-0.4864612,carrer de la perla / calle perla,colonia requena,alacant / alicante,03112,footway
carrer del farmaceutic agatangelo soler / calle farmaceutico agatangelo soler,4,0,38.375163,-0.4874047,carrer del farmaceutic agatangelo soler / calle farmaceutico agatangelo soler,colonia requena,alacant / alicante,03112,footway
carrer de valdes leal / calle valdes leal,4,0,38.3747639,-0.4988702,carrer de valdes leal / calle valdes leal,desconocido,alacant / alicante,03011,residential
carrer del capella planelles / calle cura planelles,4,0,38.3727938,-0.4979586,carrer del capella planelles / calle cura planelles,ciutat jardi,alacant / alicante,03011,residential
carrer del music torres climent / calle musico torres climent,4,0,38.3748713,-0.4920305,carrer del music torres climent / calle musico torres climent,ciutat jardi,alacant / alicante,03112,residential
plasa de la creu / plaza de la cruz,4,0,38.376449,-0.4880233,placa de la creu / plaza de la cruz,verge del remei,alacant / alicante,03112,footway
musico jose torregrosa 2,4,0,38.3867133,-0.4910545,carrer del music jose torregrosa / calle musico jose torregrosa,el palamo,alacant / alicante,03112,house
carrer del senador jose vicente mateo / calle senador jose vicente mateo,4,0,38.3705557,-0.4832639,carrer del senador jose vicente mateo / calle senador jose vicente mateo,quatre-centes vivendes,alacant / alicante,03014,residential
plasa d'ora / plaza de oran,4,0,38.3721156,-0.4851688,placa d'ora / plaza de oran,mare de deu del carme,alacant / alicante,03112,house
carrer de moncada / calle moncada,4,0,38.3720623,-0.4855992,carrer de moncada / calle moncada,mare de deu del carme,alacant / alicante,03112,house
avinguda del pintor gaston castello / avenida del pintor gaston castello,4,0,38.3754301,-0.4872937,avinguda del pintor gaston castello / avenida del pintor gaston castello,colonia requena,alacant / alicante,03112,footway
carrer del geograf rey pastor / calle geografo rey pastor,4,0,38.3723617,-0.4863679,carrer del geograf rey pastor / calle geografo rey pastor,colonia requena,alacant / alicante,03112,residential
carrer de la serra d'aitana / calle sierra de aitana,4,0,38.3721561,-0.4872184,carrer de la serra d'aitana / calle sierra de aitana,verge del remei,alacant / alicante,03112,footway
carrer de la serra cabeso d'or / calle sierra cabezo d'or,4,0,38.3719094,-0.487162,carrer de la serra cabeco d'or / calle sierra cabezo d'or,verge del remei,alacant / alicante,03112,footway
carrer de la serra maigmo / calle sierra maigmo,4,0,38.37345,-0.4876347,carrer de la serra maigmo / calle sierra maigmo,verge del remei,alacant / alicante,03112,house
carrer del quars / calle cuarzo,4,0,38.376836,-0.4871298,carrer del quars / calle cuarzo,verge del remei,alacant / alicante,03112,footway
carrer del traverti / calle travertino,4,0,38.3748806,-0.4868265,carrer del traverti / calle travertino,colonia requena,alacant / alicante,03112,footway
carrer del plati / calle platino,4,0,38.3740018,-0.4866687,carrer del plati / calle platino,colonia requena,alacant / alicante,03112,footway
carrer del diamant / calle diamante,4,0,38.3743523,-0.4866873,carrer del diamant / calle diamante,colonia requena,alacant / alicante,03112,footway
passatge poeta bartrina / pasaje poeta bartrina,4,0,38.3742734,-0.4827015,passatge poeta bartrina / pasaje poeta bartrina,joan xxiii,alacant / alicante,03014,footway
carrer de la plata / calle plata,4,0,38.3741754,-0.4866775,carrer de la plata / calle plata,colonia requena,alacant / alicante,03112,footway
