id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lon,lat
679,museo etnografico                                     ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.76814,38.69843499999999
683,ayuntamiento                                          ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,0.0454705000000025,38.644844000000006
685,ceip paternina                                        ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,0.0390772000000021,38.642861299999986
694,polideportivo municipal                               ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.6674609000000045,38.596084499999975
695,casa consistorial                                     ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.8040019999999987,38.15968299999997
696,residencia tercera edad                               ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad media                             ,accesibilidad baja                              ,-0.8031450000000021,38.156066999999965
697,consultorio medico                                    ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.8022679999999989,38.156160999999955
699,"centro sociocultural, biblioteca y regantes           ",accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad media                             ,accesibilidad baja                              ,-0.8028929999999941,38.159203000000005
700,"dependencias municipales (suma, servicios sociales y p",accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.8048269999999951,38.159734999999976
710,club convidencia de la 3a edad j. lozano              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.886200999999998,38.14095799999996
711,ayuntamiento                                          ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.7380599999999965,38.10508100000001
712,consultorio medico                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7375260000000045,38.10447999999995
713,casa de la juventud                                   ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7372310000000021,38.10453600000001
714,casa de la juventud                                   ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7367800000000035,38.10464599999999
717,casa de cultura                                       ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,0.008661000000002977,38.84097500000001
721,casa de cultura                                       ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.26830399999999893,38.734934800000026
722,casa consistorial                                     ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.21210499999999693,38.56728399999999
723,consultorio auxiliar la cala                          ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.16835300000000647,38.53164299999998
725,consultorio medico                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.2134719999999951,38.56824500000003
726,ceip balcon de finestrat                            ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.2010219999999984,38.548650000000045
728,escuela municipal infantil                            ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.21373400000000256,38.56804899999997
731,centre juvenil                                        ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.21051100000000608,38.56874399999997
732,centro multiusos la cala                            ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.16576100000000504,38.52766299999997
