WKT                                      , nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total
POINT (694832.659445044 4250226.54854267), centro enfermos de alzheimer                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (694760.595685661 4250441.45219268), centro civico soci                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja
POINT (694272.42568707 4253147.45329307) , centro social de la estacion                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (695958.607207843 4250865.60031394), polideportivo municipal - casa conserje + biblio+pisci    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (695193.873423948 4250989.83559319), piso sdad musical sta ma magdalena                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (762297.735093063 4301795.19494348), centre social                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (761955.5547124 4302004.34513469)  , casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (761295.229083146 4300896.22521432), sala multiusos en pamis                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (702518.926368129 4278365.71426671), ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (749739.648232075 4278801.76888327), edificio casa consistorial                                , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (749874.535558959 4278752.77038714), centro salud polop avda sagi barba 24                     , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (749882.002914116 4278750.89310748), edificio multiusos o centro socio cultural la pilarica    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (748656.061120749 4278380.0923783) , edificio centro social pau 1 parcela 51 equip admin       , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (733358.624889061 4289625.95212472), casa cultura                                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (681997.794185232 4265588.46288395), casa de cultura - oficinas municipales                    , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (682200.242308715 4265190.00099872), auditorio municipal                                       , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (699988.246977887 4220693.34697553), casa consistorial                                         , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (702751.116959758 4223373.30449718), consultorio auxiliar marina                               , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (700094.410619306 4220992.66350736), consultorio y proteccion civil                            , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (702763.458060687 4223430.57867205), centro social urb. marina                                 , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (700177.177593726 4221169.37023931), colegio jose maria manresa navarro                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (700002.96285179 4221097.45922881) , espacio multiusos comercial-cultural                      , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja
POINT (699985.964673661 4220961.01419768), escuela de musica                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (699742.529726304 4220760.26416675), teatro municipal cardenal belluga                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja
POINT (700087.386638447 4220821.70726783), centro civico                                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (736766.96967605 4293290.29248335) , "casa consistorial, centro civico y consultorio        "  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (736811.434181825 4293290.97301445), residencia 3a edad                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (774851.445096823 4298051.85147283), nuevo ayuntamiento                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (774410.880261519 4298161.84520249), centro social y conservat                                 , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (759975.821565183 4292421.60029736), "biblioteca, casa de la cultura, llar 3a edat          "  , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (759495.059547898 4292450.395725)  , museo etnologico                                          , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (717340.396711376 4267655.67090698), ceip sagrada familia                                      , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (717294.418969827 4268909.93243809), casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (717290.668632282 4268954.92419991), teatret                                                   , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (717287.414776406 4268605.41684024), oficinas generales                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja
POINT (752469.192246636 4274106.71770188), nuevas dependencias de la casa consistorial (ayuntamie    , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad alta                              , accesibilidad alta                              , accesibilidad media
POINT (752939.095514379 4273657.68836638), centro de dia                                             , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media
