WKT                                      , nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total
POINT (741503.024195772 4266079.97284289), barbera aragones                                          , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (698130.003177755 4211481.97186066), c.p. egb virgen del pilar                                 , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (697964.38835366 4211288.74128153) , casa de la juventud                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (688646.641495244 4256416.54724584), casa cultura                                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (694709.907659606 4251095.60633098), centro de tercera edad fco. alted palomares               , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (695885.194381835 4250664.04545884), centro salud agua deportivo (csad)                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (694604.870985881 4250164.96638371), centro social de recreo de personas mayores carmencita    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (695141.510498848 4250932.48961804), centro tercera edad barrio la garrova                     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (694619.271720428 4251428.43442777), tapis                                                     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (695186.277177432 4251043.61893163), centro cultural gomez tortosa+ oficina turismo +biblio    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (695010.316880731 4251098.65433363), aulas municipales de uso polivalente                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (694888.635076173 4250456.43025133), casal de la juventud                                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (695900.793442458 4250863.63886076), centro polivalente asociaciones (antiguo centro de sal    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (762307.190617806 4302029.53215767), edifici de la escoleta infantil                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (762175.265249215 4301741.63796069), auditori municipal                                        , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (762213.379068471 4301745.66568684), auditori municipal                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (761929.360789049 4301710.67243844), aulari de musica                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (761838.580266928 4302090.48869143), edifici el prado . sala multiusos                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (702427.783014304 4278160.5041684) , centro social polivalente                                 , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (702588.195131662 4278323.93764653), centro cultural                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (702453.823270677 4278133.28938903), museo de la munyeca                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (749279.621034617 4280057.74607954), centro social plazoleta del pilar 3 pbj de xirles         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (748780.226679738 4275623.85196721), centro social la alberca                                  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (749439.965413044 4280094.08687846), edificio centro social c. san ramon no 36                 , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (749404.049664743 4277680.91602382), edificio antiguo ceip sant roc                            , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (749347.284185412 4277874.1291848) , edificio nuevo ceip sant roc                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (750123.163001764 4278715.11339339), edificio casa de cultura                                  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (749799.528606771 4278779.42147105), edificio casa museo gabriel miro                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (733366.320585139 4289649.88403122), casa consistorial                                         , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (733366.320585139 4289649.88403122), consultorio auxiliar                                      , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (733382.404261786 4289521.94913637), hogar 3a edad                                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (681913.567436652 4265563.67781499), ayuntamiento                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (681914.405072514 4265530.60816959), servicios sociales - casa carcel                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (682042.392184067 4265453.0124334) , antiguas escuelas                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (682004.403309101 4265616.26085134), centro polivalente                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (700219.782535618 4220721.58450985), centro polivalente sociocultural                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (700024.228238417 4220967.61828236), la expo ?antigua escuela infantil?                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (699965.351405722 4220718.2128028) , museo arqueologico                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (736782.075669568 4293348.79942639), centro cultural                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (685982.531214008 4278049.1371769) , casa de la cultura                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (774783.006677482 4298116.44147998), casa consistorial                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (774267.37447384 4298083.74549821) , escuela infantil municipal                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (774800.363193183 4298120.8544658) , casa cultura                                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (774753.058398105 4298060.93642642), biblioteca municipal                                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (775209.62747739 4298470.24944885) , instituto musical                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (774656.530959343 4297994.19168958), edificio ca lambert                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (774730.287037158 4298069.71697245), museo ?soler blasco?                                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas
POINT (759691.120866739 4292078.78700559), "ajuntament, salo d'actes                              "  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (759726.115102963 4292263.65189102), escola musica                                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717270.714171846 4268610.07292299), casa consistorial                                         , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717301.705987367 4268638.12524427), casal tercera edad                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717767.585975711 4268995.42262965), ceip cristobal colon                                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717338.199559739 4268923.11569978), ceip eloi coloma                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717452.90926506 4268524.60791916) , biblioteca                                                , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
POINT (717289.075390705 4269020.07775635), escuela de musica                                         , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas
