@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
896770255,way,,yes,,38.3749704,-0.4867193
897719238,way,,yes,,38.3747592,-0.4853808
897719239,way,,yes,,38.3747925,-0.4853901
897719240,way,,yes,,38.3748282,-0.4853920
897719241,way,,yes,,38.3747566,-0.4853880
899028651,way,,yes,,38.3723817,-0.4859359
899028653,way,Calle Geógrafo Rey Pastor / Carrer del Geògraf Rey Pastor,yes,,38.3723540,-0.4859461
899228066,way,,yes,,38.3744189,-0.4834580
899228067,way,,yes,,38.3745047,-0.4831482
899228069,way,Carrer del Periodista Francisco Bas Mingot / Calle Periodista Francisco Bas Mingot,no,,38.3746895,-0.4832079
906374691,way,,yes,,38.3715546,-0.4861256
906374695,way,,yes,,38.3715067,-0.4864528
911374741,way,Carrer Benifato / Calle Benifato,limited,,38.3727834,-0.4828770
911383387,way,Avinguda Ronda de Melilla / Avenida Ronda de Melilla,yes,,38.3736418,-0.4829173
912174459,way,Carrer del Periodista Francisco Bas Mingot / Calle Periodista Francisco Bas Mingot,yes,,38.3746830,-0.4831070
912174460,way,Carrer Periodista Francisco Bas Mingot / Calle Periodista Francisco Bas Mingot,yes,,38.3746799,-0.4829418
920155829,way,Avinguda Ronda de Melilla / Avenida Ronda de Melilla,no,,38.3739446,-0.4833525
920165206,way,Carrer del Periodista Francisco Bas Mingot / Calle Periodista Francisco Bas Mingot,limited,,38.3744243,-0.4838955
921854677,way,,yes,,38.3516554,-0.4930441
922901633,way,,yes,,38.3721762,-0.4888247
922901635,way,,yes,,38.3722464,-0.4885201
922901638,way,,yes,,38.3717004,-0.4884127
922901640,way,,yes,,38.3716378,-0.4887153
922901641,way,Carrer Sierra Montgó / Calle Sierra Montgó,yes,,38.3716531,-0.4885560
923961438,way,,yes,,38.3728656,-0.4867902
923961440,way,,yes,,38.3730941,-0.4860965
925354021,way,,yes,,38.3725142,-0.4848077
925354022,way,,yes,,38.3724421,-0.4847927
925354024,way,,yes,,38.3724113,-0.4835863
926199791,way,,yes,,38.3710971,-0.4832171
929369214,way,Carrer d'Alonso Cano / Calle Alonso Cano,yes,,38.3723611,-0.4825753
929369216,way,Carrer d'Alonso Cano / Calle Alonso Cano,no,,38.3724422,-0.4828923
