id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
1447441478,,Accesibilidad alta,Accesibilidad baja,38.3695802,-0.482374
1447441480,,Accesibilidad alta,Accesibilidad baja,38.3695493,-0.4823313
1447441481,,Accesibilidad alta,Accesibilidad baja,38.3696004,-0.4818788
1447441483,,Accesibilidad alta,Accesibilidad baja,38.369633,-0.4818431
1145020,Col?legi d'Educacio Infantil i Primaria San Fernando,Accesibilidad alta,Accesibilidad baja,38.3550078,-0.4991938
8305903,Parque del Mar / Parc de la Mar,Accesibilidad alta,Accesibilidad baja,38.3347577,-0.4998531
11740044,,Accesibilidad alta,Accesibilidad baja,38.3753427,-0.491628
12335441,Polideportivo Justo Hidalgo Ruiz,Accesibilidad alta,Accesibilidad baja,38.3691401,-0.4829114
241859282,,Accesibilidad baja,Accesibilidad baja,38.351689,-0.4875089
244102071,,Accesibilidad baja,Accesibilidad baja,38.3147028,-0.5208214
263012220,,Accesibilidad baja,Accesibilidad baja,38.3749244,-0.4951603
940123272,Alacant-Estels,Accesibilidad baja,Accesibilidad baja,38.3464173,-0.4909849
940123337,Alacant-Estels,Accesibilidad baja,Accesibilidad baja,38.345629,-0.490418
940123644,Mercado,Accesibilidad baja,Accesibilidad baja,38.3480099,-0.48468
940123650,Alacant-Estels,Accesibilidad baja,Accesibilidad baja,38.3458079,-0.4911904
940123871,Alacant-Estels,Accesibilidad baja,Accesibilidad baja,38.346196,-0.4901808
941249530,Elan Cabaret,Accesibilidad baja,Accesibilidad baja,38.3500069,-0.4869255
945457554,Cerveceria Jorge,Accesibilidad baja,Accesibilidad baja,38.3626074,-0.4897097
945457556,Asador pollos La Ceramica,Accesibilidad baja,Accesibilidad baja,38.3624918,-0.4896287
945471890,La Abadia,Accesibilidad baja,Accesibilidad baja,38.3622491,-0.4894648
1290008779,Cafe Gadea,Accesibilidad baja,Accesibilidad baja,38.3424795,-0.487882
1347698914,Los Hermanos,Accesibilidad baja,Accesibilidad baja,38.3410613,-0.5148617
1516282586,Gascu?ana,Accesibilidad baja,Accesibilidad baja,38.3749858,-0.4880959
1524393277,Bellea del Foc,Accesibilidad baja,Accesibilidad baja,38.3676741,-0.4712857
1524393278,IES Jaime II,Accesibilidad baja,Accesibilidad baja,38.3622816,-0.470554
1524393279,IES Jaime II,Accesibilidad baja,Accesibilidad baja,38.3620548,-0.4702567
1524393302,Plaza Castalla,Accesibilidad baja,Accesibilidad baja,38.3696222,-0.4711409
3112504450,,Accesibilidad baja,Accesibilidad baja,38.2785025,-0.520031
4214533851,Parque El Palmeral,Accesibilidad baja,Accesibilidad baja,38.3194069,-0.5140261
4596966289,Livanti Gelato di Sicilia,Accesibilidad baja,Accesibilidad baja,38.3451096,-0.4826072
5071641196,Vivero de peces romano,Accesibilidad baja,Accesibilidad baja,38.3620046,-0.4411195
5605172221,Refugio guerra civil Seneca,Accesibilidad baja,Accesibilidad baja,38.3413023,-0.490676
6433820155,El Mirador,Accesibilidad baja,Accesibilidad baja,38.3485199,-0.4750497
6689789903,BodhiGreen,Accesibilidad baja,Accesibilidad baja,38.3426215,-0.4863141
6771884945,Como una estrella,Accesibilidad baja,Accesibilidad baja,38.3432547,-0.4944454
7566653656,,Accesibilidad baja,Accesibilidad baja,38.3868652,-0.4910875
7666729893,Treasure Media,Accesibilidad baja,Accesibilidad baja,38.3478868,-0.4757336
7738044304,,Accesibilidad baja,Accesibilidad baja,38.3749521,-0.4951655
7752677840,,Accesibilidad baja,Accesibilidad baja,38.3767125,-0.4908015
7752677841,,Accesibilidad baja,Accesibilidad baja,38.3767835,-0.4900865
7752720023,,Accesibilidad baja,Accesibilidad baja,38.3767227,-0.4901703
7774095211,,Accesibilidad baja,Accesibilidad baja,38.3754152,-0.4895789
7776414008,,Accesibilidad baja,Accesibilidad baja,38.3764542,-0.4880308
7777408860,,Accesibilidad baja,Accesibilidad baja,38.3758925,-0.409714
7777635730,,Accesibilidad baja,Accesibilidad baja,38.3764329,-0.4903981
7869508548,,Accesibilidad baja,Accesibilidad baja,38.3721291,-0.4873531
7869508560,,Accesibilidad baja,Accesibilidad baja,38.3720112,-0.4875743
7869608431,,Accesibilidad baja,Accesibilidad baja,38.3750069,-0.4952247
7869608446,,Accesibilidad baja,Accesibilidad baja,38.3750249,-0.4952506
7970798328,,Accesibilidad baja,Accesibilidad baja,38.3759992,-0.4788772
7989631152,,Accesibilidad baja,Accesibilidad baja,38.3748011,-0.486306
7993275368,,Accesibilidad baja,Accesibilidad baja,38.3706999,-0.4927439
8033219860,,Accesibilidad baja,Accesibilidad baja,38.3689059,-0.483498
10236490173,BitBase,Accesibilidad baja,Accesibilidad baja,38.3429753,-0.4882036
10294164918,Sabor Marva,Accesibilidad baja,Accesibilidad baja,38.3482892,-0.4926235
10607099670,Casa Susi,Accesibilidad baja,Accesibilidad baja,38.362866,-0.483442
11507864601,,Accesibilidad baja,Accesibilidad baja,38.3788153,-0.5023503
11507864602,,Accesibilidad baja,Accesibilidad baja,38.3788329,-0.5022718
11970147914,Vincent's,Accesibilidad baja,Accesibilidad baja,38.3442686,-0.4918454
12090586996,Gascu?ana,Accesibilidad baja,Accesibilidad baja,38.3750141,-0.488103
12198519066,Consulado Britanico,Accesibilidad baja,Accesibilidad baja,38.3457204,-0.4837505
12241243609,,Accesibilidad baja,Accesibilidad baja,38.3477015,-0.4850363
13031850601,,Accesibilidad baja,Accesibilidad baja,38.3494396,-0.4779414
13033761751,Svaps,Accesibilidad baja,Accesibilidad baja,38.3460037,-0.4880084
19786157,Ciudad Ibero Romana de Lucentum,Accesibilidad baja,Accesibilidad baja,38.3647421,-0.4388496
20490193,,Accesibilidad baja,Accesibilidad baja,38.3483349,-0.4923693
33180110,,Accesibilidad baja,Accesibilidad baja,38.3438231,-0.4945081
33180112,,Accesibilidad baja,Accesibilidad baja,38.3444805,-0.4944614
138221423,,Accesibilidad baja,Accesibilidad baja,38.3574029,-0.489777
155075732,,Accesibilidad baja,Accesibilidad baja,38.337491,-0.4928805
204648521,Pla?a del Poble Gitano / Plaza del Pueblo Gitano,Accesibilidad baja,Accesibilidad baja,38.3583524,-0.4907421
220653181,Senda del Poeta,Accesibilidad baja,Accesibilidad baja,38.3486495,-0.5783577
220653182,,Accesibilidad baja,Accesibilidad baja,38.3466122,-0.5949585
