WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,tipo_edifi_val,uso_edifi,uso_edifi_val,proteccio,e1_entrada_ppal,e1_entrada_ppal_val,e1_coste,e2_itinerarios_accesibles,e2_itinerarios_accesibles_val,e2_coste,e3_zonas_atencion_publico,e3_zonas_atencion_publico_val,e3_coste,e4_servicios_higienicos,e4_servicios_higienicos_val,e4_coste,e5_elementos_accesibles,e5_elementos_accesibles_val,e5_coste,accesibilidat_total,accesibilidat_total_val,total_coste,nom_mun,nom_mun_cas,nom_mun_cas_a,nom_mun_val,nom_mun_val_a,noms_mun,comarca,provincia,lon,lat
POINT (709087.08342396 4305972.12243902),11,CENTRE DE DIA,C. ORIENT 30-B,46042,1966,Equipamiento,Equipament,"Asistencial, Social","Assistencial, Social",No,Accesibilidad baja,Accessibilitat baixa,5068.49,Accesibilidad baja,Accessibilitat baixa,1500.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,17195.14,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5896643358735064,38.87775243633678
POINT (709190.759472463 4305925.31006905),12,ESCOLA INFANTIL,"C. BOCAIRENT, 55",46042,1980,Equipamiento,Equipament,"Educativo, Social","Educatiu, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,514.41,Accesibilidad baja,Accessibilitat baixa,3247.23,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,19231.76,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5884844065176744,38.8773062907655
POINT (709237.267352228 4305914.57533187),13,"CEIP ""SANT JOSEP DE CALASANÇ""","C. MESTRA MARIA ARABI, 5",46042,2012,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,2743.05,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,62353.65,Accesibilidad baja,Accessibilitat baixa,1892.36,Accesibilidad baja,Accessibilitat baixa,55905.61,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,125313.17,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5879519828510102,38.877198570414635
POINT (709111.93941436 4306061.21363422),14,BIBLIOTECA I MUSEU NINO BRAVO,"C. SANTS PEDRA, 96",46042,1930,Equipamiento,Equipament,"Educativo, Cultural","Educatiu, Cultural",BRL,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,6596.91,Accesibilidad baja,Accessibilitat baixa,1625.58,Accesibilidad baja,Accessibilitat baixa,1952.36,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,24698.79,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5893509185131613,38.87854866046946
POINT (709073.298965849 4306049.90734807),15,AUDITORI,"C. SANTS PEDRA, 94",46042,1930,Equipamiento,Equipament,"Cultural, Social, Recreativo","Cultural, Social, Recreatiu",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,514.41,Accesibilidad baja,Accessibilitat baixa,6321.39,Accesibilidad media,Accessibilitat mitjana,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3309.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,25615.17,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5897994405226076,38.878456055886694
POINT (709200.564362379 4306064.56764878),16,POLICÍA I MÚSICA,"C. ONTINYENT, 1",46042,1930,Equipamiento,Equipament,"Educativo, Administrativo, Institucional","Educatiu, Administratiu, Institucional",No,Accesibilidad media,Accessibilitat mitjana,30.0,Accesibilidad baja,Accessibilitat baixa,2076.51,Accesibilidad media,Accessibilitat mitjana,30.0,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,19078.95,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5883290683838638,38.8785577691099
POINT (718458.083134826 4370591.75207336),17,CASA DE LA VILA,"MAJOR, 88",46005,2004,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",BIC,Accesibilidad media,Accessibilitat mitjana,472.8,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,30809.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,661.85,Accesibilidad baja,Accessibilitat baixa,32890.68,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.46088800000000063,39.45719899999998
POINT (719193.858544178 4370531.09333262),18,CENTRE DE DIA,"ANDALUCIA, 12",46005,2006,Equipamiento,Equipament,"Social, Recreativo","Social, Recreatiu",No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,18047.88,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,21412.56,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.45236400000000343,39.456465999999985
POINT (718728.132833888 4370842.43083671),19,CENTRE SOCIAL BENÀGER,DR. FRANCESC TARREGA BARBERÀ,46005,1995,Equipamiento,Equipament,Sanitario,Sanitari,No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,630.4,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,5498.85,Accesibilidad baja,Accessibilitat baixa,21599.37,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.4576699999999973,39.45938699999998
POINT (718315.034960935 4370579.83478021),20,C.E.I.P. VILA D'ALAQUÀS,"ANTONIA MARIA DE OVIEDO, 2",46005,1980,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1419.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,21818.27,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,29047.88,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,52285.4,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.46255299999999555,39.45712799999998
POINT (719258.781813169 4370857.20093974),21,C.E.I.P. GONZALEZ GALLARZA,"PICANYA, 1",46005,1960,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,1586.6,Accesibilidad alta,Accessibilitat alta,26409.62,Accesibilidad baja,Accessibilitat baixa,1892.36,Accesibilidad baja,Accessibilitat baixa,43571.82,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,5498.85,Accesibilidad baja,Accessibilitat baixa,78959.25,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.4515030000000018,39.459385
POINT (719254.414808267 4370369.17041055),22,C.E.I.P. BONAVISTA,"PD ALQUERIA ALOS,1",46005,1980,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad media,Accessibilitat mitjana,10571.82,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,5498.85,Accesibilidad media,Accessibilitat mitjana,16070.67,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.45171400000000045,39.45499300000001
POINT (718331.457549877 4370063.95582993),23,C.E.I.P. SANCHIS ALMIÑANO,"LANJARON, 6",46005,1981,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,5000.0,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,18047.88,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,23994.06,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.46253100000000674,39.45247999999997
POINT (718038.594902604 4370182.02203198),24,"CENTRE DE FORMACIÓ ""FRANCESC FERRER MARTÍ""","CID, 40",46005,1997,Equipamiento,Equipament,"Educativo, Social","Educatiu, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,253.84,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad media,Accessibilitat mitjana,3523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,661.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,5385.81,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.465893000000001,39.45361699999999
POINT (719400.105042257 4370488.7147528),25,ESCOLA MUNICIPAL INFANTIL L'ALQUERÍA,PD ALQUERIA ALOS 2 POLÍGONO 5 PARCELA 67,46005,1950,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,452.7,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,18341.32,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.44998299999999425,39.45603200000001
POINT (718448.4389144 4370530.60345307),26,COMPLEJO SOCIOCULTURAL EL OLIVAR,"AV. PAÍS VALENCIÀ, 2C",46005,2011,Equipamiento,Equipament,"Educativo, Cultural, Social","Educatiu, Cultural, Social",No,Accesibilidad baja,Accessibilitat baixa,14055.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,34659.62,Accesibilidad media,Accessibilitat mitjana,946.18,Accesibilidad media,Accessibilitat mitjana,7047.88,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3178.37,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,59887.05,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,Alaquàs,l'Horta Sud,València/Valencia,-0.46102000000000015,39.456650999999994
POINT (715276.684433199 4302134.63137983),27,AJUNTAMENT,PLAÇA MAJOR 7,46006,1989,Equipamiento,Equipament,"Institucional, Social","Institucional, Social",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,283.84,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,51742.16,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,21785.91,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,661.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,75419.94,Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia,-0.5195738757402032,38.84170899256722
POINT (715757.58395869 4301593.44503099),28,ESCOLETA DE LA VILA,"12 D´OCTUBRE, 3",46006,1960,Equipamiento,Equipament,Educativo,Educatiu,No,Accesibilidad baja,Accessibilitat baixa,1474.65,Accesibilidad baja,Accessibilitat baixa,2076.51,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,36309.85,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,40807.19,Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia,-0.5142073996129853,38.83671887596755
POINT (715687.746831178 4301622.40147745),29,CONSERVATORI,ARQUEÒLEG BALLESTER 45,46006,1960,Equipamiento,Equipament,"Educativo, Cultural","Educatiu, Cultural",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,454.98,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,60395.92,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,36309.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,100555.43,Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia,-0.5150022333474783,38.836996688682994
POINT (715337.095642582 4301966.5354714),30,CINE ODEON,POSIT 5,46006,1975,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad baja,Accessibilitat baixa,4246.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,24083.01,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2809.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,46608.88,Albaida,Albaida,Albaida,Albaida,Albaida,Albaida,la Vall d'Albaida,València/Valencia,-0.518931009385529,38.84018082379625
POINT (714623.357688497 4332672.38379065),31,CASA CONSISTORIAL,"PLAÇA DE LA CONSTITUCIÓ, 24",46011,1789,Equipamiento,Equipament,"Cultural, Administrativo, Institucional","Cultural, Administratiu, Institucional",BRL,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,483.36,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,24399.98,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,33121.49,Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,-0.517507507891938,39.11679823009837
POINT (714610.689571295 4332643.44568747),32,AYUNTAMIENTO,"PLAÇA DE LA CONSTITUCIÓ, 21",46011,1976,Equipamiento,Equipament,"Administrativo, Institucional","Administratiu, Institucional",No,Accesibilidad media,Accessibilitat mitjana,240.13,Accesibilidad baja,Accessibilitat baixa,1358.37,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1323.7,Accesibilidad baja,Accessibilitat baixa,18422.32,Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,-0.5176630552047994,39.11654082846131
POINT (714565.943807806 4332695.27878807),33,CASA DE LA CULTURA,"PLAÇA DE LA CONSTITUCIÓ, 11",46011,1985,Equipamiento,Equipament,Cultural,Cultural,No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,787.49,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,33280.62,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,49538.23,Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,-0.5181637822113261,39.117018483192055
POINT (714431.364457728 4332515.86074708),34,BIBLIOTECA MUNICIPAL,"CARRER DEL PINTOR RIBERA, 3 BAJO 8",46011,1967,Equipamiento,Equipament,Cultural,Cultural,No,Accesibilidad media,Accessibilitat mitjana,240.13,Accesibilidad baja,Accessibilitat baixa,684.98,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,10925.23,Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,-0.5197757320299298,39.11543635482372
POINT (714461.128848155 4332619.57102887),35,TEATRE LICEU,"CARRER DE SANT LLORENÇ, 27",46011,1978,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,24479.32,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3309.25,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,36205.96,Alberic,Alberic,Alberic,Alberic,Alberic,Alberic,la Ribera Alta,València/Valencia,-0.5193990057068846,39.116362705676416
