WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia
POINT (764920.831764955 4281675.70955148),692,MUSEO DE LA SENYORETA                                 ,"SANTISSIM CRISTO, 7                                    ",3047,1952,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Calp                ,la Marina Alta     ,Alacant/Alicante 
POINT (765338.273350436 4282941.00649818),693,MUSEO DEL COCO                                        ,GARGASINDI 1-L                                         ,3047,2000,Equipamiento         ,Cultural                                 ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Calp                ,la Marina Alta     ,Alacant/Alicante 
POINT (692576.96651541 4225942.86432145) ,698,HOGAR DEL JUBILADO                                    ,"C/ SANTA BARBARA, 69                                   ",3055,1986,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692654.168520119 4226025.64165298),701,VIVIENDA SOCIAL                                       ,"C/ MONSERRATE, 7                                       ",3055,1955,Vivienda+equipamiento,Otro                                     ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692493.235357231 4225987.51452433),702,CEIP AZORIN                                           ,"C/ AZORIN, 21                                          ",3055,1980,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692582.265217082 4225449.54158899),703,CENTRO DE FORMACION                                   ,C/ LA PALMERA                                          ,3055,2012,Equipamiento         ,Educativo                                ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692348.342401419 4226430.56034673),704,ESCUELA INFANTIL                                      ,C/ ARAGON                                              ,3055,2008,Equipamiento         ,Educativo                                ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692576.280164332 4226396.87865771),705,IES CATRAL                                            ,C/ ARMANDO ROS DUE?AS                                  ,3055,2006,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (685142.318114305 4223634.94367009),709,CASA CONSISTORIAL                                     ,"PLAZA DE LA GLORIETA,1 Y DR. FLEMING                   ",3058,1972,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Cox                 ,el Baix Segura/La V,Alacant/Alicante 
POINT (761273.912630657 4304102.26870844),715,AYUNTAMIENTO                                          ,"CALLE CERVANTES, 10                                    ",3138,1950,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,el Verger           ,la Marina Alta     ,Alacant/Alicante 
POINT (761439.229401773 4303887.92449436),716,HOGAR DEL JUBILADO                                    ,"CALLE ALMASSERA, 20                                    ",3138,1963,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,el Verger           ,la Marina Alta     ,Alacant/Alicante 
POINT (761250.83032263 4303526.89641788) ,718,EDIFICIO MULTIUSOS ?EMAUS?                            ,"CALLE SAN ANTONIO, 2                                   ",3138,1945,Equipamiento         ,"Cultural, Social, Recreativo, Infraestruc",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,el Verger           ,la Marina Alta     ,Alacant/Alicante 
POINT (761343.371035599 4304040.88743427),719,EDIFICIO USOS M?LTIPLES                               ,"CALLE EXCORXADOR, 8                                    ",3138,1970,Equipamiento         ,"Cultural, Asistencial, Administrativo    ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,el Verger           ,la Marina Alta     ,Alacant/Alicante 
POINT (737491.784035581 4290909.23678291),720,CASA CONSISTORIAL                                     ,"C/SALAMANCA,2                                          ",3067,1965,Equipamiento         ,"Sanitario, Administrativo, Institucional ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Fageca              ,el Comtat          ,Alacant/Alicante 
POINT (742944.509803488 4272474.10663653),724,ANTIGUO CONSULTORIO                                   ,"C/NOU, 5                                               ",3069,1909,Equipamiento         ,"Cultural, Social                         ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (742855.08460548 4272638.70019384) ,727,CEIP ?PUIG CAMPANA?                                   ,AV. CAM? DE REIS N? 2                                  ,3069,2004,Equipamiento         ,Educativo                                ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (742968.457945577 4272446.61581224),729,BIBLIOTECA                                            ,C/ SANT MIQUEL N? 46                                   ,3069,2007,Equipamiento         ,"Cultural, Social                         ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (743044.617889881 4272560.91262399),730,CASA CULTURA                                          ,P?A. UNI? EUROPEA SN                                   ,3069,1990,Equipamiento         ,"Cultural, Social, Educativo, Deportivo   ",Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (746817.836929617 4268640.88657414),735,EXTENSI?N ADMINISTRATIVA ?LA CALA?                    ,AV. MARINA BAIXA N? 29                                 ,3069,1992,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (746983.193439968 4268375.23657802),737,SALA ACTIVIDADES ?LA CALA?                            ,AV. MARINA BAIXA N? 15                                 ,3069,1993,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad muy baja. Barreras arquitectonicas,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
