WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia
POINT (693803.754854712 4220418.06405874),620,TEATRO CORTES                                         ,CL COMUNIDAD VALENCIANA 13(A)                          ,3015,1908,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad baja                              ,Almoradi            ,el Baix Segura/La V,Alacant/Alicante 
POINT (757127.953370008 4276797.06173466),621,AJUNTAMENT D'ALTEA                                    ,"PL. JOSE MARIA PLANELLES, 1                            ",3018,1968,Equipamiento         ,"Administrativo, Institucional, Infraestru",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Altea               ,la Marina Baixa    ,Alacant/Alicante 
POINT (757070.539426275 4276860.44773576),623,C.E.A.M                                               ,"CL. MARINA BAIXA, 6                                    ",3018,2007,Equipamiento         ,"Sanitario, Asistencial                   ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Altea               ,la Marina Baixa    ,Alacant/Alicante 
POINT (757471.391745309 4279720.74695548),627,CENTRE CULT. A. VELLA                                 ,"CL. CARRETERA DE CALLOSA, 37-C                         ",3018,1990,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Altea               ,la Marina Baixa    ,Alacant/Alicante 
POINT (756836.699361352 4276251.39464248),628,CONSERVATORI M                                        ,"CL. CAMI VELL D'ALACANT, 1                             ",3018,1950,Equipamiento         ,"Educativo, Cultural                      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Altea               ,la Marina Baixa    ,Alacant/Alicante 
POINT (757336.855160287 4279900.7438723) ,633,EXT. ADM. A. LA VELLA                                 ,"CL. CURA LLINARES, 4                                   ",3018,1966,Equipamiento         ,"Cultural, Sanitario                      ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Altea               ,la Marina Baixa    ,Alacant/Alicante 
POINT (694970.75553369 4246539.69580495) ,635,CASA CONSISTORIAL (EDIFICIO HIST?RICO)                ,PLAZA MAYOR N?MERO 1                                   ,3019,1900,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (695041.739567517 4245755.78258243),637,CENTRO D?A                                            ,"C/ RUPERTO CHAP?, 4                                    ",3019,1993,Equipamiento         ,Asistencial                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (694960.513589077 4246757.20364255),638,"CENTRO SOCIAL ""CASA DEL CISCO""                        ","AV. CONSTITUCI?N, 42 Y LEPANTO, 4                      ",3019,1900,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (695327.173029836 4245923.25599013),648,"NUEVO COLEGIO ""PERPETUO SOCORRO""                      ","C/MAESTRO ALCOLEA, 1 ESQ. AV.CARLOS SORIA, 10          ",3019,2005,Equipamiento         ,Educativo                                ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (694942.338427534 4246553.99979782),649,BIBLIOTECA RUBEN DAR?O                                ,"C/ SAN JOS?, 9                                         ",3019,2005,Equipamiento         ,"Social, Cultural                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (694813.668862439 4246272.83990542),652,COLINDANTES TEATRO WAGNER (POSADA Y AUDITORIO ALFREDO ,C/ CASTELAR N? 2 Y C/ BARRANCO N? 20                   ,3019,1900,Equipamiento         ,"Cultural, Administrativo                 ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Aspe                ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (703645.523698148 4288110.37132517),655,HOGAR DEL JUBILADO                                    ,C/SANTA CECILIA N.? 7                                  ,3021,1975,Equipamiento         ,"Cultural, Social, Infraestructura        ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Banyeres de Mariola ,l'Alcoia           ,Alacant/Alicante 
POINT (703823.187481901 4288457.09155055),656,TALLER OCUPACIONAL (ANTIGUA CASA MEDICO)              ,C/ FONT DE CAVALLER N.? 4                              ,3021,1945,Equipamiento         ,Asistencial                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Banyeres de Mariola ,l'Alcoia           ,Alacant/Alicante 
POINT (703719.939519905 4288473.10582721),658,COLEGIO ALFONSO INIESTA Y AULAS ANEXAS EDU. INFANTIL  ,C/ FONT BONA N.? 29                                    ,3021,2014,Equipamiento         ,"Educativo, Deportivo                     ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Banyeres de Mariola ,l'Alcoia           ,Alacant/Alicante 
POINT (703409.703010694 4287638.33979747),660,OROSIA SILVESTRE GUARDERIA INFANTIL                   ,C/ BIAR 5-A                                            ,3021,2000,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Banyeres de Mariola ,l'Alcoia           ,Alacant/Alicante 
POINT (703783.544768981 4287908.77823017),661,BIBLIOTECA MUNICIPAL                                  ,C/LA MALENA N?15                                       ,3021,2009,Equipamiento         ,"Educativo, Cultural, Administrativo      ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Banyeres de Mariola ,l'Alcoia           ,Alacant/Alicante 
POINT (692442.46900486 4225928.57202062) ,706,CASA DE CULTURA                                       ,C/ OSCAR ESPLA                                         ,3055,2012,Equipamiento         ,"Cultural, Social, Deportivo              ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (694045.042733535 4285783.90167082),673,CENTRO DE SALUD                                       ,"C/ PRACTICANTE BELLOD CORT?S, N? 4                     ",3023,1960,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Beneixama           ,l?Alt Vinalopo/El A,Alacant/Alicante 
POINT (694077.862463775 4285797.69412384),675,CENTRO SOCIAL                                         ,"AV. VILLENA, N? 10                                     ",3023,2004,Equipamiento         ,"Educativo, Cultural                      ",Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Beneixama           ,l?Alt Vinalopo/El A,Alacant/Alicante 
POINT (694691.382848093 4285993.23491323),677,AGENCIA DE LECTURA                                    ,"C/ COL?N, N? 1                                         ",3023,1965,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Beneixama           ,l?Alt Vinalopo/El A,Alacant/Alicante 
POINT (694089.167577921 4285676.59217351),679,MUSEO ETNOGR?FICO                                     ,CAMINO CAMPO DE MIRRA                                  ,3023,1945,Equipamiento         ,Cultural                                 ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Beneixama           ,l?Alt Vinalopo/El A,Alacant/Alicante 
POINT (765053.621720163 4281767.13967253),683,AYUNTAMIENTO                                          ,"AV. IFAC, 12                                           ",3047,1980,Equipamiento         ,"Administrativo, Institucional, Infraestru",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Calp                ,la Marina Alta     ,Alacant/Alicante 
POINT (764504.380286529 4281528.59029821),685,CEIP PATERNINA                                        ,"AVDA. MASNOU, 15                                       ",3047,2010,Equipamiento         ,"Educativo, Deportivo                     ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Calp                ,la Marina Alta     ,Alacant/Alicante 
POINT (703134.532051934 4274535.42774958),694,POLIDEPORTIVO MUNICIPAL                               ,"CALLE TENIENTE GENERAL VICENTE RIPOLL VALLS, S/N       ",3053,1978,Equipamiento         ,Deportivo                                ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Castalla            ,l'Alcoia           ,Alacant/Alicante 
POINT (692395.193070462 4225811.08511935),695,CASA CONSISTORIAL                                     ,"PLAZA DE ESPA?A,1                                      ",3055,2001,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692479.795851947 4225411.58061413),696,RESIDENCIA TERCERA EDAD                               ,"C/ LA PALMERA, 1                                       ",3055,2007,Vivienda+equipamiento,"Sanitario, Asistencial                   ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692556.396816656 4225423.83387561),697,CONSULTORIO MEDICO                                    ,C/ LA PALMERA                                          ,3055,2011,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692493.62852811 4225760.12016716) ,699,"CENTRO SOCIOCULTURAL, BIBLIOTECA Y REGANTES           ","C/ SAN ANTONIO, 9                                      ",3055,2007,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad media                             ,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (692322.76827442 4225815.14343328) ,700,"DEPENDENCIAS MUNICIPALES (SUMA, SERVICIOS SOCIALES Y P","C/ GENERAL PRIM, 2                                     ",3055,1940,Equipamiento         ,"Asistencial, Administrativo, Instituciona",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante 
POINT (685240.178705133 4223565.67025403),710,CLUB CONVIDENCIA DE LA 3? EDAD J. LOZANO              ,"CALLE ALAMEDA, 34                                      ",3058,1990,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Cox                 ,el Baix Segura/La V,Alacant/Alicante 
POINT (698320.981803504 4219890.56373256),711,AYUNTAMIENTO                                          ,PLAZA DEL LEON N.? 2                                   ,3062,2005,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Daya Vieja          ,el Baix Segura/La V,Alacant/Alicante 
POINT (698369.433469404 4219825.00934037),712,CONSULTORIO MEDICO                                    ,AVDA PRESIDENTE ADOLFO SUAREZ N.? 12                   ,3062,1940,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Daya Vieja          ,el Baix Segura/La V,Alacant/Alicante 
POINT (698395.150211019 4219831.85465584),713,CASA DE LA JUVENTUD                                   ,"CALLE VIRGEN DEL MONSERRATE, N? 2                      ",3062,1940,Equipamiento         ,"Cultural, Administrativo, Social         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Daya Vieja          ,el Baix Segura/La V,Alacant/Alicante 
POINT (698434.400237419 4219845.02630999),714,CASA DE LA JUVENTUD                                   ,"CALLE VIRGEN DEL MONSERRATE, N? 4                      ",3062,2005,Equipamiento         ,"Cultural, Administrativo, Institucional, ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Daya Vieja          ,el Baix Segura/La V,Alacant/Alicante 
POINT (761133.255247239 4303431.78892049),717,CASA DE CULTURA                                       ,CALLE MESTRE JOS? VIVES                                ,3138,2000,Equipamiento         ,"Educativo, Cultural, Recreativo          ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,el Verger           ,la Marina Alta     ,Alacant/Alicante 
POINT (737442.076819635 4290905.91957878),721,CASA DE CULTURA                                       ,"EXMA.DIPUTACI?N,5                                      ",3067,1970,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Fageca              ,el Comtat          ,Alacant/Alicante 
POINT (742893.755474742 4272445.12522438),722,CASA CONSISTORIAL                                     ,P?A. AJUNTAMENT N?1                                    ,3069,1991,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (746828.253095674 4268605.87830382),723,CONSULTORIO AUXILIAR LA CALA                          ,AV. MARINA BAIXA N? 27                                 ,3069,1992,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (742771.398627206 4272548.17335959),725,CONSULTORIO M?DICO                                    ,C/ SERRA CORTINA N? 5                                  ,3069,2012,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (743922.554609741 4270406.27019702),726,CEIP ?BALC?N DE FINESTRAT?                            ,AV. SEVILLA N? 8                                       ,3069,2010,Vivienda+equipamiento,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (742749.228365776 4272525.72611172),728,ESCUELA MUNICIPAL INFANTIL                            ,C/ SERRA CORTINA N? 7                                  ,3069,2011,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (743027.733892213 4272611.39224704),731,CENTRE JUVENIL                                        ,C/ FONTETA N? 36                                       ,3069,2011,Equipamiento         ,"Social, Cultural, Educativo              ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (747067.856712752 4268171.09311575),732,CENTRO MULTIUSOS ?LA CALA?                            ,AV. MARINA BAIXA N? 3                                  ,3069,1996,Equipamiento         ,"Cultural, Social, Educativo              ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (745442.031006576 4269488.83253145),733,CENTRO MULTIUSOS ?TERRA MARINA?                       ,AV. COSTA BLANCA N? 71                                 ,3069,1111,Equipamiento         ,"Cultural, Social                         ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (746388.788590627 4269283.59959184),734,EDIF. MULTIUSOS ?BARQUILLERO?                         ,AV. PICASSO N? 18                                      ,3069,1995,Equipamiento         ,"Cultural, Sanitario                      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (742651.829930207 4272401.23418551),736,MUSEO ETNOL?GICO                                      ,PQ FONT DE CARR?                                       ,3069,2010,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Finestrat           ,la Marina Baixa    ,Alacant/Alicante 
POINT (699306.107831447 4218189.71713007),739,CENTRO SOCIO CULTURAL LOS PALACIOS                    ,"C/ ORIHUELA, 12                                        ",3070,2005,Equipamiento         ,"Cultural, Sanitario                      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Formentera del Segur,el Baix Segura/La V,Alacant/Alicante 
POINT (697610.867458412 4217604.07282066),740,CENTRO SOCIOCULTURAL SAN ROQUE                        ,"C/ FEDERICO GARC?A LORCA, 7                            ",3070,2006,Equipamiento         ,Cultural                                 ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Formentera del Segur,el Baix Segura/La V,Alacant/Alicante 
POINT (697807.970668478 4217687.80827064),741,CEIP JUAN CARLOS                                      ,"C/ CONCEPCI?N MINGOT, S/N                              ",3070,1960,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Formentera del Segur,el Baix Segura/La V,Alacant/Alicante 
POINT (767884.33957838 4296150.34454067) ,742,EDIFICI DE L'AJUNTAMENT                               ,"C/DUQUESSA D'ALMODOVAR, 3                              ",3071,2003,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Gata de Gorgos      ,la Marina Alta     ,Alacant/Alicante 
POINT (767872.696143017 4296113.83514096),744,EDIFICI DEL CENTRE SOCIAL INTEGRAT                    ,"C/. DUQUESSA D'ALMODOVAR, 1                            ",3071,2003,Equipamiento         ,"Cultural, Administrativo, Social         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Gata de Gorgos      ,la Marina Alta     ,Alacant/Alicante 
POINT (767948.480242714 4295847.90651495),746,"EDIFICI POLIVALENT ""GUILLEM AGULL?""                   ","C/ DEL GRUP ESCOLAR, 35                                ",3071,2000,Equipamiento         ,"Educativo, Cultural, Administrativo, Soci",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Gata de Gorgos      ,la Marina Alta     ,Alacant/Alicante 
POINT (686992.611876892 4214919.39877127),751,CASA CONSISTORIAL                                     ,"PLAZA DE ESPA?A, 1                                     ",3080,1960,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
POINT (686851.365263307 4214685.9933673) ,752,CONSULTORIO M?DICO                                    ,"AVENIDA DE LA PAZ, 78                                  ",3080,1960,Equipamiento         ,Sanitario                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
POINT (687139.317074304 4214712.14183197),755,CENTRO CULTURAL                                       ,"PASAJE IGLESIA, 2                                      ",3080,1111,Equipamiento         ,"Educativo, Cultural, Social              ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Jacarilla           ,el Baix Segura/La V,Alacant/Alicante 
POINT (733535.813181937 4302846.5746489) ,758,CENTRO SOCIAL DE LA 3? EDAD                           ,"C/ SAFOR, 14                                           ",3084,2003,Equipamiento         ,"Asistencial, Social, Recreativo          ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (733343.910643013 4302715.22108513),759,CONSULTORIO AUXILIAR Y VIVIENDA M?DICO                ,"C/ MESTRE SERRANO, 22                                  ",3084,1970,Vivienda+equipamiento,"Sanitario, Asistencial                   ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (733463.317020458 4302865.61188724),760,C.E.I.P. FRANCISCO CLOQUELL                           ,"C/ ESCOLES, 1                                          ",3084,1950,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Orxa              ,el Comtat          ,Alacant/Alicante 
POINT (752469.192246636 4274106.71770188),764,EDIFICIO DE LA CASA CONSISTORIAL (AYUNTAMIENTO)       ,"CL FEDERICO GARC?A LORCA, 11 Y CL ESCOLES, 1           ",3011,1970,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (752654.521376574 4274148.95813005),766,CENTRO CULTURAL DE LA TERCERA EDAD                    ,"CL EXERCITS ESPANYOLS, 60                              ",3011,1978,Equipamiento         ,"Social, Recreativo                       ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (754645.29124287 4273281.16514369) ,769,CENTRO SOCIAL ALBIR                                   ,"CL SANT JAVIER, 2                                      ",3011,2000,Equipamiento         ,"Educativo, Social, Recreativo            ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (752823.607739962 4274045.34064328),770,CENTRO DE FORMACI?N                                   ,"CM LA MAR, 19                                          ",3011,1970,Equipamiento         ,"Educativo, Administrativo                ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
POINT (761907.654493319 4302043.9884226) ,810,EDIFICI DE L?AJUNTAMENT                               ,PZ CONVENT 2                                           ,3095,1995,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Ondara              ,la Marina Alta     ,Alacant/Alicante 
POINT (755574.570845303 4273565.04223994),774,MUSEO VILLA ROMANA Y OTRAS DEPENDENCIAS               ,"CL OSCAR ESPL?, 3                                      ",3011,2000,Equipamiento         ,Cultural                                 ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,l'Alfas del Pi      ,la Marina Baixa    ,Alacant/Alicante 
